1.200,12.000
1.200,11.350
1.200,10.700
1.200,10.050
1.200,9.400
1.200,8.750
1.200,8.100
1.200,7.450
1.200,6.800
1.200,6.150
1.200,5.500
1.200,4.850
0.550,4.850
0.550,5.500
0.550,6.150
0.550,6.800
0.550,7.450
0.550,8.100
0.550,8.750
0.550,9.400
0.550,10.050
0.550,10.700
0.550,11.350
0.550,12.000
0.550,12.650
0.550,13.300
0.550,13.950
0.550,14.600
0.550,15.250
0.550,15.900
-0.100,15.900
-0.750,15.900
-1.400,15.900
-2.050,15.900
-2.700,15.900
-3.350,15.900
-4.000,15.900
-4.650,15.900
-5.300,15.900
-5.950,15.900
-6.600,15.900
-7.250,15.900
-7.900,15.900
-8.550,15.900
-8.550,15.250
-7.900,15.250
-7.250,15.250
-6.600,15.250
-5.950,15.250
-5.300,15.250
-4.650,15.250
-4.000,15.250
-3.350,15.250
-2.700,15.250
-2.050,15.250
-1.400,15.250
-0.750,15.250
-0.750,14.600
-0.750,13.950
-0.750,13.300
-0.750,12.650
-0.750,12.000
-0.750,11.350
-0.100,11.350
